text,emotion
This is exciting news I will be following I have been a DCCT EDIC study participant for TID for 30 years and will,approval
BCG 1 HbA1c 3 5 BCG ,neutral
 EurekAlert Awesome info ,admiration
 Microbiomeplus EurekAlert Good to know,admiration
 EurekAlert But they taste like mangoes ,admiration
 EurekAlert Love them Here in Fl they are coming into season I have 2 on my mango tree,love
 PCRM EurekAlert They are so yummy to me,neutral
Interesting study promoting the benefits of mangoes Perfect for summer ,admiration
 NHK ,neutral
 doc cook Oh that is just too dang cool ,admiration
If Vtgn shows efficacy jnj buys them,neutral
 VTGN is gonna be lot better ,admiration
 OfTraum,neutral
But on reading primary paper the evidence for interaction between fish protein parvalbumin and the clumps of,neutral
 GrattonCaterina WUSTL A step in the right direction to assess reproducibility but continuous rsfMR,neutral
 hashtagAshleyN NeuroCellPress WUSTL stevenmnelson ndosenbach gordonneuro DeannaJGreene,admiration
 MDMagazine Blood tests have overtaken diagnosis to the near exclusion of patient self reports doctors active listening ,neutral
Here are some more articles in this thread,neutral
 ProfCarolineS Wonder if it would have any influence on other types of gynecological pain such as with en,neutral
 ProfCarolineS Great question it looks like it is quite pain specific We are running a survey at th,admiration
Great work Would this type of device provide any relief for tension type headaches or is it mainly for migraines ,admiration
Thank you for your interest Studies using sTMS have been studied specifically in migraine We do not ha,gratitude
Hmm after TMS was initially hyped so much for psychiatric disorders only to slowly fizzle out cant sa,neutral
 aparanjape netshrink breakthrough path breaking miracle therapies are encountered probably,neutral
 Antibodies against the gene products of individual TRK genes can be found at our website,neutral
 MUSChealth Just what I need ,curiosity
 DMResponse DrScottNewton robust new tech Bring it ,joy
Hi todays chat topic is tips for using storytelling in dementia care creativitycare,neutral
Wow Is that possible ,admiration
Some times these findings come and go but we have try and make sure that we dont miss a simple therapy,approval
If this is true we can all get tested now or anytime Just a saliva test ,neutral
 SandeepBaglaMD Team VIV Very Happy to read that the procedure we described with my colleague Dr O,joy
With a modified virus injected directly into the cancer interesting ,admiration
Oncolytic virus is a hot topic ,neutral
And the sad reality is T vec is far in superior to PV10,sadness
 ARRS Radiology EurekAlert Which kind of breast cancers ,neutral
Include in the flight package lol,amusement
a 60K solution for an option already available OTC for under 5 bucks ha ,neutral
Comes standard with every first class ticket on Singapore Airlines ,neutral
Is this a joke 60K ,amusement
Thats approximately what it currently costs for the blindness indication it is approved for ,curiosity
Discount included in NRA memberships ,neutral
Perfect price point for Skymall ,admiration
Not a Vanda fan but PIII design suggests its used for just 1 day Implies cost per acute episode is,neutral
Whoever chose the stock photo cant possibly be the same person who wrote this I wish they had read the article ,desire
 SanJoan Oh verd SanJoan ,anger
2 things 1 Having everything will never work or make you happy 2 What others say is most of the ti,joy
nice ,admiration
Been taking probiotics for a while Fecal transplant if they fail bacteria,neutral
Ive used the orange brand which is okay But both my proctologist and gastroenterologist recomme,neutral
This is true Raine,admiration
Learn the basics of the Mediterranean Diet here,neutral
Weve written about the heart health benefits of a Mediterranean Diet here,neutral
That sounds hopeful ,admiration
This is great Now why cant we make progress by making use of analyses of kratom supported by scien,admiration
 SGottliebFDA Right And that not so much analysis as it is common sense ,neutral
Instead if intentional vagueness in addressing these deaths why not admit publicly that those 43 dea,neutral
Clinical evaluation works well IMO ,neutral
 Test results can be available within 3 to 4 hours CT results are available right away and allow eval,neutral
Super frustrating The scary thing is on the Banyan website Although they never use the word concuss,neutral
Wow I just tweeted about this a sec ago as it seemed promising Digging in a little further it ap,joy
Read it today too Had the thought that the FDA doesnt seem to know what this test does ,neutral
It will get a lot of mention for concussion diagnosis but thats not its use And doesnt fit well i,approval
 nytimes Putting a price tag on events that risk TBI as opposed to a player sitting out if they fail a,neutral
 concussionblog I completely agree,approval
 NFL Read this please ,neutral
What about kids in sports So they can have early warnings to quit before they have to much damage m,neutral
 megtirrell This is why we have a Canadian CT head rule and PECARN ,curiosity
Let us be very clear that this is not a blood test for concussions but a blood test for ruling out in,neutral
It would have been nice if NATA1950 made that distinction when they tweeted the story out ,admiration
 ollq pllo FDA Thai ,anger
 ollq pllo CSF Rhinorrhea ,neutral
 DrRider Marker dx Ct Dx plan treatment CT ,neutral
 DrRider ,neutral
 virenkaul drdangayach AmyGDalaMD Seems like another 1000 to bill for what If it takes 4 hrs its n,neutral
Wow if this is real its a game changer ,admiration
Interesting article ,neutral
Wow ,admiration
 US FDA Awesome to see new means of testing for concussion but questions remain about uch l1 and g,admiration
Yowza,anger
Great stuff that effectively proves what the research has been pointing to for a while now Trying t,admiration
I wont be holding my breath ,love
gen idealist sa l k habercilerinin dikkatine sunar m akguleser1 ve fesraoz,neutral
 ATCanonymous,neutral
NOT a test for concussion not for kids under 18 Please read statement from NATA,neutral
 chelsmtoney Thank you ,gratitude
Never said it was a TEST for concussions Apologize if it came across that way was just stating the headl,neutral
Now add Severe Very Severe ME to the trials Sweden shows abnl proteins in CSF of these pts and this disease m,neutral
Awesome work ,admiration
Will this approach be eventually implemented to diagnose or will PD remain to be clinicallt diagnosed ,neutral
 Bleeding4Kansas EurekAlert ksleg CJOnlin,neutral
 MikeLoBurgio EurekAlert Tell this to the premier of South Australia he needs educating on this issue ,neutral
Nice ,admiration
It seems like common sense to be honest ,neutral
Yes Unfortunately some people wont believe the benefits unless its prescribed to them by someon,neutral
But you will likely do it on your own since most doctors are being paid to profit from other drugs ,neutral
For senoirs also with depression apetite loss not sleeping well helps enjoy music movies more e,joy
 ukhomeoffice PaulFlynnMP They and all the governments since 1971 have done a very good job of ignoring the evidence ,admiration
 ukhomeoffice PaulFlynnMP Agreed Misuse of Drugs Act 1971 has barely if at all been revised in 50y,curiosity
 ukhomeoffice PaulFlynnMP Unless you work in the home office then you can ease licences through fo,neutral
 ukhomeoffice PaulFlynnMP And all the while scientific researchers like Prof David Nutt have had t,neutral
That is just the tip of the iceberg The Hempire Strikes Back Cannabis prohibition is the crime,neutral
 DizzyLizzy2906 ukhomeoffice PaulFlynnMP Limbic capitalism sugar tobacco etc This is one of m,admiration
 BarnsGreg I dont think that is a fair criticism We often see BarnsGreg stand up and advocate for pa,neutral
 PlayersNetwork you have every right to be against alcohol amp marijuana amp profanity your apparentl,neutral
Hello Jeff Sessions,neutral
Yes We are survivors of NJ heroin epidemic suffering in amp Out of institutions amp jails for 11 yrs,neutral
 ScienceDaily Great article Amazing stats LegalizeIt flowerpower ,admiration
Education and legalization will help on this critical front cannabis PainManagement CherylShuman,curiosity
 noshitsherlock,neutral
 alcoholawareness Big Alcohol exposed Worldwide The deadliest and most abused drug and killer and destroye,neutral
Thank you magtell for sharing,gratitude
 QUT SciReports just wondering could this be used to help school students who have alcohol foe,neutral
 when the extended dosing regimens were applied with risk reduction for PML as high as 94 percent ,neutral
Interesting I always thought the lignans and phytochemicals in flax and soy were responsible for thei,neutral
 JefferyNutr yes one example of the limitation of nutritionism,neutral
Mouse study ,neutral
Yes interesting nonetheless ,admiration
 DiscoStew66 Gearoidmuar Time for fish bread ,neutral
What a surprise ,curiosity
When I was a young lad in NZ the only thing I remember about flax linseed oil was that it was used on timber,neutral
Good to know Keep up the great work ,admiration
I use it before sleep and it really seems to helps with joint pain and nervous tension,neutral
Forgot all about that ,neutral
Interesting timing I just bought 2 bottles of this over the weekend ,anger
 audibme vader7x,neutral
This will end up being one of the most powerful treatments for auto immune we have NIH has more in vi,neutral
Find out more about the benefits of curcumin here,neutral
Find out more about the benefits of curcumin here,neutral
More DrinkZyn too please ,optimism
And mixed with black pepper the yellow turmeric root forms the perfect synergy ,neutral
 JAmCollSurg it must be the present no the future very useful tool for ambulatory surgery units e,neutral
I have a block artery even though I have been a vegan for 8 years Can I do this excercise routine ,curiosity
 BrownUniversit,neutral
Intriguing I am not sure how a facelift can modulate migraine pathophysiology Please tell us more about the study design ,confusion
We in Northern Europe are truly fucked without meds then DAMN YOU JUPITER YOU COULD HAVE BEEN O,curiosity
Thanks for sharing Jose Antonio In 22 September 2012 was published this interesting double blind,gratitude
Interesting though the subjects had vit D levels 20 ng mL ,neutral
4000 IU as the upper safe limit when the target VitD concentration requires 2x that for 95 confid,neutral
Its a cautionary tale Ive seen levels as low as 5 ng mL in African American patients Skin pigment natural sunscreen,neutral
8000IU ,neutral
 ChronicRights,anger
Children who eat fish at least once a week sleep better and have IQ scores that are 4 points higher than those who,neutral
Does this apply to Swedish fish ,neutral
 foundmyfitness win ,admiration
Dunno if its the same but I grew up really poor and we ate a lot of fish sticks ,approval
 foundmyfitness,neutral
Is it really the fish Or the social and economic background of the children who eat it ,neutral
i wish i liked any seafood ,desire
Is there a good supplement replacement for those who dont eat fish ,admiration
 foundmyfitness No,neutral
 adiz0r could well be that the causation runs from higher IQ and better sleep to regular fish eating,neutral
 foundmyfitness adiz0r Fatty acids are important for brain development ,neutral
 foundmyfitness Yes Omega 3 supplements are a good alternative ,admiration
The benefits do not outweigh the detriments of increasing a childs risk to methylmercury poisoning,neutral
I wonder what the parents lifestyles are in these studies Monkey see Monkey do for the most part ,curiosity
 foundmyfitness Actually evidence points to the contrary benefits do outweigh the negatives Thats wh,curiosity
Do you think it has something to do with omega 3 ,curiosity
Knew there was a reason Im slow i hate fish,anger
What is the name of the company that you get your roe eggs from Heard you on Rogan,curiosity
This study does not establish causation However confounders such as gender fathers education mo,curiosity
This study does not establish causation it did account for confounders such as gender fathers amp moth,curiosity
What do you do if you find the flavor or texture of fish gross amp off putting ,curiosity
I get them from vital choice no affiliation ,neutral
 FITrebeld,amusement
So my mothers insistence on those Friday tuna sandwiches was actually a good thing Hmmm ,admiration
 joerogan Must be the mercury lol,amusement
 foundmyfitness The only important question ,neutral
Correlation or causation ,neutral
 joerogan Fish sticks count ,neutral
Did you use a fish oil pill control group ,curiosity
Catholics are smart then ,neutral
Because they are trying to figure how to get out of eating fish and pretending to be asleep so theu wont them more Boom,neutral
 foundmyfitness Correlation imo ,neutral
 joerogan Tuna fish in a can count ,neutral
A specific fish ,neutral
 joerogan Did the study check the income level of the kids Fish is pretty expensive if you have t,curiosity
 foundmyfitness Is there any chance you can provide scientific evidence that this is true ,curiosity
 foundmyfitness ,neutral
 joerogan Does long John silvers count ,neutral
This seems a bit fishy ,neutral
I wonder what other factors could figure in Guessing most homes serving fish have more attentive p,curiosity
 joerogan Yes but many of them drown ,neutral
 b hooker6,neutral
 joerogan This sounds like a load of BS ,anger
But is 4 points significant ,neutral
 feineron foundmyfitness Dont be dumb ,neutral
If one developmental disabled is in either study the score is thrown way off These studies are all,neutral
 joerogan What happens to the kids when they get loaded with mercury and plastic from said fish ,neutral
Variables be a lurkin ,neutral
 joerogan JosephAgu,neutral
 joerogan Curious Is this just because theyre likely Asian and have high discipline parents Rem,curiosity
 joerogan Jokes aside fish is healthier than burgers for sure No wonder I feel so dum:,approval
 joerogan True,neutral
 foundmyfitness joerogan the uk tried omega oil trials on kids It made no difference This is li,neutral
 joerogan Im curious too what did the study define as fish Clearly not frozen fish sticks ha,curiosity
 joerogan Maybe smart parentes get there children to eat fish ,neutral
 joerogan Important to look at the totality of data Randomized controlled trials have shown that fish oil,neutral
 joerogan tell that to my dipshit Filipino cousins that eat fish every night ,neutral
 JeffNylen Randomized controlled trials which have been done with fish oil and have shown improv,neutral
 joerogan Too many factors to draw that conclusion Maybe the kids that ate fish also have less toys We just dont know,neutral
 foundmyfitness joerogan Dont forget about hemp ,curiosity
They r called asians,neutral
 joerogan Enjoy both of your work Isnt this study using the same logic as people who eat meat die,joy
 joerogan What if another group of children consumed those children who consumed the fish once a we,curiosity
 joerogan Wife Where are you going Me Our baby needs more fish ,curiosity
My kids its worth it ,admiration
 foundmyfitness Its once a week I bet i can,admiration
 joerogan Correlation causation Fish eaters are generally wealthy ,neutral
 joerogan Too bad Fish doesnt taste any good so not worth it ,admiration
 foundmyfitness You get dumber of course ,curiosity
Can we please get you on JREpodcast with someone from PCRM this needs to happen Lets have both,neutral
Thats the dumbest thing Ive heard all day ,curiosity
Similar cognitive outcomes seen in epi studies when looking at omega 3 levels Ever measure your,neutral
I never consume fish and I am just fine,approval
Is it the fish or might it be so that families that consume fish more often are from a higher soci,curiosity
Do fish sandwiches at McDonalds count ,curiosity
Do bakes fish fingers count,curiosity
 mattstaggs I have been eating a lot of fish Sardines mackerel and wild caught salmon I cant af,neutral
 foundmyfitness yeah with sardines its still fairly safe because they are lower on the food chain and,neutral
 foundmyfitness I kind of had a realization I have been reading and writing so much about hunter gathe,approval
Then its a good thing IQ tests are completely invalid and biased ,admiration
 joerogan Test the fish in your diet for heavy metals like mercury ,neutral
Good quality fish ,admiration
How do you find good clean fish Its not like the grocery stores amp supply chain are testing them,curiosity
 joerogan Correlation is not causation Children who eat fish once a week probably have it prepared,neutral
 EurekAlert Correct ,admiration
Oh cool ,admiration
Now is fish the cause or just a protruding variable I see people running to buy fish sticks and t,neutral
So can I now get disability checks for being allergic to all fish seafood ,anger
 EurekAlert does fish sticks count Need clarification for the boxed food yoyos ,curiosity
 joerogan This theory seems fishy ,neutral
Are fish oil capsules sufficient ,curiosity
 joerogan I mean my opinion means nothing but when i supplement fish oils i can feel the anti infla,approval
 joerogan Theyre called Asians Theyre good a math and study for five hours in the back of restaurants ,admiration
 rikkimetz,neutral
 joerogan Families who buy and eat fish tend to be well off and smart to begin with Dumb families,neutral
 foundmyfitness Thats exactly my point correlation does not equal causation,disapproval
 theladychuck foundmyfitness,neutral
 rvangraafeiland foundmyfitness Placebo fish is easy Just go to Long John Silvers I think thats all deep fried batter ,neutral
 inittowinit0 Ive ready weekly fish also tested well with less people in that pool getting alzheim,neutral
 EurekAlert one question here is with increased research on plastics in the sea how can we guarantee clean fish ,curiosity
 joerogan No doubt fish is good for the brain but the amount of micro plastics in all living things,admiration
I don et fush an my iq is throo the rufe ,approval
 joerogan Association does not equal causation Multiple grounds for confounding and bias in this s,neutral
 joerogan Children who are able to eat fish at least weekly and who can get more sleep tend to end up smarter newsflash ,neutral
Its a shame we are dumping billions of kilos of plastic our oceans at the rate we are dumping plas,curiosity
I hate correlational research that pops up on social media this is not causality ,anger
 joerogan I used to get fish sticks does that count ,curiosity
Yeah but children who are vegan can fly,neutral
Maybe so But this may be because fish can be expensive and therefore children from more wealthy ba,neutral
what about oil vs direct consumption krill oil vs fish oil ,neutral
 joerogan a minnow a day keeps stupid at bay ,anger
I wonder at what point eating more fish stops adding benefit I think I consume too much fish More like 3 5 times a week ,curiosity
Unfortunately the down sides of fish based on the toxin levels is scary Read Dr Michael Gregers re,neutral
 foundmyfitness joerogan Lots of potential confounding variables there but it seems plausible that it would be beneficial ,neutral
 foundmyfitness Im pretty sure those were not my exact words Just cause you have a potty mouth doesn,approval
 Ferjep PTA Y los del puerto San Jos comen todos los D as pescado y dicen dos m s dos 22 ,neutral
My kids eat rocks,neutral
 Cernovich lol Ive had 3 oatmeal and Cocoa Puffs work best ,amusement
 Cernovich Based on that its evident liberals didnt eat enough fish as kids ,neutral
Careful of what type of fish you eat Some have mercy in them and some can kill you The oil spil,neutral
And you meet or exceed your daily allowance of mercury Wow Win Win ,admiration
 Cernovich Fake news live and let live be a vegetarian,neutral
Horses and carts chickens and eggs Do households that provide varied foods end up with smar,neutral
 Cernovich My family eats fish all the time I sure wish my kids scores were higher than the other kids that eat fish too ,desire
 JeffNylen Does this include fish sticks,neutral
 Cernovich tuna,neutral
Yeah fancy and if a frog had wings it wouldnt bump its ass when it hopped FunFacts,neutral
 MiloWear1A Or is it higher iq people are more health conscious and lead a healthier life style ,neutral
 Cernovich That is because they are the children of parents who are smarter about what they eat and,neutral
These stats sound FISHY,neutral
Want your kids to be smarter and sleep better Feed them more fis,neutral
This smells like correlation ,love
Is it because some cultures who happen to eat more fish are disciplined or is it because of fish ,neutral
 Cernovich What about krill oil ,neutral
That is a complete crock of sh t Theres no basis for that statement You are a quack ,neutral
What fish we talking about The radioactive Fukishima kind or the BP filled to the gills kind ,curiosity
 joerogan Chicken or the egg do smarter people eat fish because of its known health benefits or,neutral
 AllegraVianson7 Are you insinuating that Asians are smarter ,curiosity
 rvangraafeiland foundmyfitness ,admiration
 holisticvetUK Shame that fish are a problem with heavy metal contamination ,neutral
Does the study correct for family revenue education levels etc ,neutral
Re animal proteins leading to cancer as per the comprehensive China study from the 80s Does that include fish as well ,neutral
I think there is something fishy here ,neutral
You dont like fish ,neutral
Im pretty sure thats not a fish being consumed ,approval
 AsapSCIENCE I need sleep and vacation haha ,amusement
So is the gif telling us that fish who consume mammals sleep better and have higher IQs too ,curiosity
 AsapSCIENCE Yes ,neutral
Weekly What if you have kids begging for seafood 3 5 times a week RIPmywallet,neutral
Good to include 1 or 2 portions of fish a week in diet but always tricky to link to IQ could even be reverse causality ,neutral
Thanks Not my area but thats what I thought re causality ,gratitude
Hi Shay Good to hear ,admiration
Are you saying samaki wana akili kuliko manyani ya Jane Goodall ,curiosity
What about all that Fukushima radiation thats in the worlds oceans Cant be healthy to consume ,curiosity
FLS primary prevention and falls assessment is the way forward icares SWBH OsteoporosisSoc loveyourbones,neutral
 sheffielduni unibirmingham uniofeastanglia Osteoporosis is a very disabling condition Screening is,admiration
meaningless study,admiration
I have a cure for our unemployed green loving millennials living in their parents house We can set,neutral
Big Pharma however will not approve of this plan ,neutral
The best thing HIV patients can do is recognize that the HIV test is a total fraud and avoid anything by big pharma ,admiration
Yes lots of money ,neutral
yep when first diag as a pre had to fight hcp to get bg testing gear Hcp seem to want more td2 Glad i refused their ed,joy
Yes we dont take prediabetes seriously enough Prediabetes can cause damage as well ,neutral
Yes I would agree ,approval
 DonnellyDan tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP,anger
 ProfTimNoakes DonnellyDan tomwilliams1974 DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP,neutral
 MikeWM tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP tom watson,joy
 ProfTimNoakes MikeWM tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky,neutral
 ProfTimNoakes MikeWM tomwilliams1974 DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP,neutral
 MikeWM tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP tom watson,joy
 ProfTimNoakes MikeWM tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky,neutral
 RickDaymd CNN Exactly Ive ran on people with rotting toes with sugars in the 500s Diabetic Me ,neutral
 RickDaymd CNN I didnt know people went that long without healthcare in the case of diabetes but jeez ,neutral
 Botanygeek banjaxed mum StickmanBleedin SBakerMD drnickgreiner mrc314 KetoDocCLT zoeharcombe,neutral
 BarryCPearson Botanygeek banjaxed mum StickmanBleedin SBakerMD drnickgreiner KetoDocCLT zoeharcombe,neutral
 Botanygeek banjaxed mum StickmanBleedin SBakerMD drnickgreiner mrc314 KetoDocCLT zoeharcombe This,neutral
Amazing Gillian Not wanting to lose your eyesight of legs definitely sound like strong motivators T,admiration
 DrDuaneRD Thanks DrDuaneRD A great webinar and good to hear an update for an area that is not my,gratitude
why the fuck did i read this there goes my apetite,anger
grr,neutral
Dont be a pussy Eat them anyway ,neutral
Given the substantial interest in this by patients and public should this not be made open access DUK research,neutral
 DiabetesUK What implication this has on insurance cost for diabetic patient I guess they be consi,neutral
Hi Manishk I would suggest asking that question to your insurance provider since it would depend on a,neutral
 DiabetesUK I am following this all the way from Wichita KS USA My husband and I will be purchasi,neutral
 Telegraph anitagomes Is this treatment available in India Pls let me know ,neutral
Paging bengoldacre and david colquhoun Where does one start with this ,neutral
Heroin,neutral
 Telegraph bengoldacre I suspect that the author is applying for a grant or for promotion Wait for th,neutral
This is incredible ,admiration
Really Cures ,admiration
Sounds good will look forward to that When my back goes into spasm Im stuck for up to three weeks bef,neutral
 napoli dr Where can I read the paper ,neutral
 fsgpmt Just presented RSNA it will be published soon,neutral
I love it ,love
Im liking this one Thanks for posting Lookout cinnamon toast here I come ,gratitude
 medical xpress Wee word of warning too much can also cause perioral dermetitus I was taking a,neutral
 medical xpress Its a good treat for the kids as well,admiration
 medical xpress Supposed to be good for colds and excellent added to the sloe gin spice mix,admiration
 medical xpress Weve always eaten a lot of cinnamon here amp never had any problems but always,neutral
Thats One Big Icicle ,neutral
lordy,anger
No LARDY ,neutral
awesome Where have you taken trees down this year Get rid of all the pines and all the non specimen trees ,admiration
 JrPredators Congrats to Scott Calvin and JR Preds ,neutral
Hey sis Have a great day ,admiration
You too Got msg Will call back ,neutral
Please dont jinx it ,neutral
 BashawCurling Ice gone liquid in Westlock too but one more spiel at Legal this week hurry ,neutral
 BashawCurling liver says it season end Although Camrose still has a mens spiel next wknd Who knows may take one more roadie,neutral
that scares me a lot,anger
 TravelManitoba hopefully the thaw comes sooner than later IceCreamWeather ,optimism
absolutely DM or email me your shipping info and I will send you some goodies ,curiosity
for sure and if you ever heard of Aldi foods they have frozen food for cheap save ya some ,neutral
 logansdad34 I get bags of frozen fruit put in bowl and snack on it frozen,neutral
 Fantastic image ,neutral
 efoxband lol Awesome FonduePoints ,amusement
Im sure youve had it said to you already but if youre looking for great non TREK Patrick Stewart watch GREEN ROOM ,admiration
yeah im waiting for that one to hit cable streaming,neutral
dont forget about the former queen of hell that he was fooling around with Bensozia Glasyas mother Hmm ,neutral
5 perspective The Attention Econom,neutral
4 perspective The free time paradox in America,neutral
 HeatherSolos The end of an era ,neutral
 HeatherSolos end of a paycheck Had just stocked up at Costco ,neutral
bowy this shit is kinda overwhelming me now tbh,anger
im probably going to cry in nov,neutral
Felix Diaz is advised by Al Haymon ,neutral
I thought Amir Imam was as well,neutral
OMG Ihr erinnert euch Amazon schickte mir das falsche Buch zu und heute sollte das richtige kommen GUESS WHAT ,curiosity
Nicht das richtige ,neutral
 m chte mich einfach mit neuen und nicht bestellten B chern berraschen Find ich ok wenn noch irgend,joy
geh ins Gesch ft ,neutral
yep hawthorne was slushy with rain not long ago,neutral
Aber die Mitarbeiterin im Chat war jetzt super unkompliziert und kompetent ,admiration
 well help ,admiration
