0,1
b'I have a block artery even though I have been a vegan for 8 years Can I do this excercise routine ':,confusion
b' BrownUniversit':,neutral
b'Intriguing I am not sure how a facelift can modulate migraine pathophysiology Please tell us more about the study design ':,confusion
b'4000 IU as the upper safe limit when the target VitD concentration requires 2x that for 95 confid':,neutral
b'8000IU ':,neutral
b'Interesting though the subjects had vit D levels 20 ng mL ':,neutral
b'Its a cautionary tale Ive seen levels as low as 5 ng mL in African American patients Skin pigment natural sunscreen':,neutral
b'Thanks for sharing Jose Antonio In 22 September 2012 was published this interesting double blind':,gratitude
b'We in Northern Europe are truly fucked without meds then DAMN YOU JUPITER YOU COULD HAVE BEEN O':,neutral
b' ChronicRights':,neutral
b' adiz0r could well be that the causation runs from higher IQ and better sleep to regular fish eating':,neutral
b' AllegraVianson7 Are you insinuating that Asians are smarter ':,curiosity
b' AsapSCIENCE I need sleep and vacation haha ':,amusement
b' AsapSCIENCE Yes ':,neutral
b' b hooker6':,neutral
b' Cernovich Based on that its evident liberals didnt eat enough fish as kids ':,neutral
b' Cernovich Fake news live and let live be a vegetarian':,neutral
b' Cernovich lol Ive had 3 oatmeal and Cocoa Puffs work best ':,amusement
b' Cernovich My family eats fish all the time I sure wish my kids scores were higher than the other kids that eat fish too ':,desire
b' Cernovich That is because they are the children of parents who are smarter about what they eat and':,neutral
b' Cernovich tuna':,neutral
b' Cernovich What about krill oil ':,neutral
b' EurekAlert Correct ':,neutral
b' EurekAlert does fish sticks count Need clarification for the boxed food yoyos ':,neutral
b' EurekAlert one question here is with increased research on plastics in the sea how can we guarantee clean fish ':,neutral
b' feineron foundmyfitness Dont be dumb ':,neutral
b' Ferjep PTA Y los del puerto San Jos comen todos los D as pescado y dicen dos m s dos 22 ':,neutral
b' FITrebeld':,neutral
b' foundmyfitness':,neutral
b' foundmyfitness ':,neutral
b' foundmyfitness Actually evidence points to the contrary benefits do outweigh the negatives Thats wh':,neutral
b' foundmyfitness adiz0r Fatty acids are important for brain development ':,neutral
b' foundmyfitness Correlation imo ':,neutral
b' foundmyfitness I kind of had a realization I have been reading and writing so much about hunter gathe':,realization
b' foundmyfitness Im pretty sure those were not my exact words Just cause you have a potty mouth doesn':,confusion
b' foundmyfitness Is there any chance you can provide scientific evidence that this is true ':,curiosity
b' foundmyfitness Its once a week I bet i can':,approval
b' foundmyfitness joerogan Dont forget about hemp ':,neutral
b' foundmyfitness joerogan Lots of potential confounding variables there but it seems plausible that it would be beneficial ':,neutral
b' foundmyfitness joerogan the uk tried omega oil trials on kids It made no difference This is li':,neutral
b' foundmyfitness No':,neutral
b' foundmyfitness Thats exactly my point correlation does not equal causation':,confusion
b' foundmyfitness The only important question ':,neutral
b' foundmyfitness win ':,neutral
b' foundmyfitness yeah with sardines its still fairly safe because they are lower on the food chain and':,neutral
b' foundmyfitness Yes Omega 3 supplements are a good alternative ':,admiration
b' foundmyfitness You get dumber of course ':,neutral
b' holisticvetUK Shame that fish are a problem with heavy metal contamination ':,neutral
b' inittowinit0 Ive ready weekly fish also tested well with less people in that pool getting alzheim':,neutral
b' JeffNylen Does this include fish sticks':,neutral
b' JeffNylen Randomized controlled trials which have been done with fish oil and have shown improv':,neutral
b' joerogan a minnow a day keeps stupid at bay ':,anger
b' joerogan Association does not equal causation Multiple grounds for confounding and bias in this s':,neutral
b' joerogan Chicken or the egg do smarter people eat fish because of its known health benefits or':,neutral
b' joerogan Children who are able to eat fish at least weekly and who can get more sleep tend to end up smarter newsflash ':,neutral
b' joerogan Correlation causation Fish eaters are generally wealthy ':,neutral
b' joerogan Correlation is not causation Children who eat fish once a week probably have it prepared':,neutral
b' joerogan Curious Is this just because theyre likely Asian and have high discipline parents Rem':,curiosity
b' joerogan Did the study check the income level of the kids Fish is pretty expensive if you have t':,admiration
b' joerogan Does long John silvers count ':,neutral
b' joerogan Enjoy both of your work Isnt this study using the same logic as people who eat meat die':,joy
b' joerogan Families who buy and eat fish tend to be well off and smart to begin with Dumb families':,neutral
b' joerogan Fish sticks count ':,neutral
b' joerogan I mean my opinion means nothing but when i supplement fish oils i can feel the anti infla':,approval
b' joerogan I used to get fish sticks does that count ':,curiosity
b' joerogan Im curious too what did the study define as fish Clearly not frozen fish sticks ha':,curiosity
b' joerogan Important to look at the totality of data Randomized controlled trials have shown that fish oil':,neutral
b' joerogan Jokes aside fish is healthier than burgers for sure No wonder I feel so dumb':,confusion
b' joerogan JosephAgu':,neutral
b' joerogan Maybe smart parentes get there children to eat fish ':,neutral
b' joerogan Must be the mercury lol':,amusement
b' joerogan No doubt fish is good for the brain but the amount of micro plastics in all living things':,admiration
b' joerogan tell that to my dipshit Filipino cousins that eat fish every night ':,neutral
b' joerogan Test the fish in your diet for heavy metals like mercury ':,neutral
b' joerogan Theyre called Asians Theyre good a math and study for five hours in the back of restaurants ':,admiration
b' joerogan This sounds like a load of BS ':,curiosity
b' joerogan This theory seems fishy ':,neutral
b' joerogan Too bad Fish doesnt taste any good so not worth it ':,admiration
b' joerogan Too many factors to draw that conclusion Maybe the kids that ate fish also have less toys We just dont know':,neutral
b' joerogan True':,neutral
b' joerogan Tuna fish in a can count ':,neutral
b' joerogan What happens to the kids when they get loaded with mercury and plastic from said fish ':,neutral
b' joerogan What if another group of children consumed those children who consumed the fish once a we':,curiosity
b' joerogan Wife Where are you going Me Our baby needs more fish ':,curiosity
b' joerogan Yes but many of them drown ':,neutral
b' mattstaggs I have been eating a lot of fish Sardines mackerel and wild caught salmon I cant af':,neutral
b' MiloWear1A Or is it higher iq people are more health conscious and lead a healthier life style ':,neutral
b' rikkimetz':,neutral
b' rvangraafeiland foundmyfitness ':,neutral
b' rvangraafeiland foundmyfitness Placebo fish is easy Just go to Long John Silvers I think thats all deep fried batter ':,neutral
b' theladychuck foundmyfitness':,neutral
b'A specific fish ':,neutral
b'And you meet or exceed your daily allowance of mercury Wow Win Win ':,surprise
b'Are fish oil capsules sufficient ':,neutral
b'Are you saying samaki wana akili kuliko manyani ya Jane Goodall ':,curiosity
b'Because they are trying to figure how to get out of eating fish and pretending to be asleep so theu wont them more Boom':,neutral
b'But is 4 points significant ':,neutral
b'Can we please get you on JREpodcast with someone from PCRM this needs to happen Lets have both':,neutral
b'Careful of what type of fish you eat Some have mercy in them and some can kill you The oil spil':,neutral
b'Catholics are smart then ':,admiration
b'Children who eat fish at least once a week sleep better and have IQ scores that are 4 points higher than those who':,neutral
b'Correlation or causation ':,neutral
b'Did you use a fish oil pill control group ':,curiosity
b'Do bakes fish fingers count':,curiosity
b'Do fish sandwiches at McDonalds count ':,neutral
b'Do you think it has something to do with omega 3 ':,neutral
b'Does the study correct for family revenue education levels etc ':,neutral
b'Does this apply to Swedish fish ':,neutral
b'Dunno if its the same but I grew up really poor and we ate a lot of fish sticks ':,approval
b'Good quality fish ':,admiration
b'Good to include 1 or 2 portions of fish a week in diet but always tricky to link to IQ could even be reverse causality ':,neutral
b'Hi Shay Good to hear ':,admiration
b'Horses and carts chickens and eggs Do households that provide varied foods end up with smar':,neutral
b'How do you find good clean fish Its not like the grocery stores amp supply chain are testing them':,admiration
b'I don et fush an my iq is throo the rufe ':,neutral
b'I get them from vital choice no affiliation ':,neutral
b'I hate correlational research that pops up on social media this is not causality ':,anger
b'I never consume fish and I am just fine':,approval
b'I think there is something fishy here ':,neutral
b'i wish i liked any seafood ':,desire
b'I wonder at what point eating more fish stops adding benefit I think I consume too much fish More like 3 5 times a week ':,confusion
b'I wonder what other factors could figure in Guessing most homes serving fish have more attentive p':,surprise
b'I wonder what the parents lifestyles are in these studies Monkey see Monkey do for the most part ':,curiosity
b'If one developmental disabled is in either study the score is thrown way off These studies are all':,neutral
b'Im pretty sure thats not a fish being consumed ':,confusion
b'Is it because some cultures who happen to eat more fish are disciplined or is it because of fish ':,neutral
b'Is it really the fish Or the social and economic background of the children who eat it ':,neutral
b'Is it the fish or might it be so that families that consume fish more often are from a higher soci':,neutral
b'Is there a good supplement replacement for those who dont eat fish ':,admiration
b'Its a shame we are dumping billions of kilos of plastic our oceans at the rate we are dumping plas':,curiosity
b'Knew there was a reason Im slow i hate fish':,anger
b'Maybe so But this may be because fish can be expensive and therefore children from more wealthy ba':,neutral
b'My kids eat rocks':,neutral
b'My kids its worth it ':,admiration
b'Now is fish the cause or just a protruding variable I see people running to buy fish sticks and t':,neutral
b'Oh cool ':,admiration
b'Re animal proteins leading to cancer as per the comprehensive China study from the 80s Does that include fish as well ':,neutral
b'Similar cognitive outcomes seen in epi studies when looking at omega 3 levels Ever measure your':,neutral
b'So can I now get disability checks for being allergic to all fish seafood ':,neutral
b'So is the gif telling us that fish who consume mammals sleep better and have higher IQs too ':,neutral
b'So my mothers insistence on those Friday tuna sandwiches was actually a good thing Hmmm ':,admiration
b'Thanks Not my area but thats what I thought re causality ':,gratitude
b'That is a complete crock of sh t Theres no basis for that statement You are a quack ':,curiosity
b'Thats the dumbest thing Ive heard all day ':,neutral
b'The benefits do not outweigh the detriments of increasing a childs risk to methylmercury poisoning':,neutral
b'Then its a good thing IQ tests are completely invalid and biased ':,admiration
b'These stats sound FISHY':,neutral
b'They r called asians':,neutral
b'This seems a bit fishy ':,neutral
b'This smells like correlation ':,love
b'This study does not establish causation However confounders such as gender fathers education mo':,disapproval
b'This study does not establish causation it did account for confounders such as gender fathers amp moth':,curiosity
b'Unfortunately the down sides of fish based on the toxin levels is scary Read Dr Michael Gregers re':,admiration
b'Variables be a lurkin ':,neutral
b'Want your kids to be smarter and sleep better Feed them more fis':,neutral
b'Weekly What if you have kids begging for seafood 3 5 times a week RIPmywallet':,neutral
b'What about all that Fukushima radiation thats in the worlds oceans Cant be healthy to consume ':,neutral
b'what about oil vs direct consumption krill oil vs fish oil ':,neutral
b'What do you do if you find the flavor or texture of fish gross amp off putting ':,curiosity
b'What fish we talking about The radioactive Fukishima kind or the BP filled to the gills kind ':,curiosity
b'What is the name of the company that you get your roe eggs from Heard you on Rogan':,curiosity
b'Yeah but children who are vegan can fly':,neutral
b'Yeah fancy and if a frog had wings it wouldnt bump its ass when it hopped FunFacts':,neutral
b'You dont like fish ':,neutral
b' sheffielduni unibirmingham uniofeastanglia Osteoporosis is a very disabling condition Screening is':,admiration
b'FLS primary prevention and falls assessment is the way forward icares SWBH OsteoporosisSoc loveyourbones':,neutral
b'meaningless study':,admiration
b'Big Pharma however will not approve of this plan ':,neutral
b'I have a cure for our unemployed green loving millennials living in their parents house We can set':,neutral
b'The best thing HIV patients can do is recognize that the HIV test is a total fraud and avoid anything by big pharma ':,admiration
b' BarryCPearson Botanygeek banjaxed mum StickmanBleedin SBakerMD drnickgreiner KetoDocCLT zoeharcombe':,neutral
b' Botanygeek banjaxed mum StickmanBleedin SBakerMD drnickgreiner mrc314 KetoDocCLT zoeharcombe':,admiration
b' Botanygeek banjaxed mum StickmanBleedin SBakerMD drnickgreiner mrc314 KetoDocCLT zoeharcombe This':,admiration
b' DiabetesUK I am following this all the way from Wichita KS USA My husband and I will be purchasi':,neutral
b' DiabetesUK What implication this has on insurance cost for diabetic patient I guess they be consi':,neutral
b' DonnellyDan tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP':,caring
b' DrDuaneRD Thanks DrDuaneRD A great webinar and good to hear an update for an area that is not my':,gratitude
b' MikeWM tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP tom watson':,anger
b' MikeWM tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP tom watson':,anger
b' ProfTimNoakes DonnellyDan tomwilliams1974 DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP':,neutral
b' ProfTimNoakes MikeWM tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky':,neutral
b' ProfTimNoakes MikeWM tomwilliams1974 AgnesAyton DrAseemMalhotra SkyNews SophyRidgeSky':,neutral
b' ProfTimNoakes MikeWM tomwilliams1974 DrAseemMalhotra SkyNews SophyRidgeSky lowcarbGP':,neutral
b' RickDaymd CNN Exactly Ive ran on people with rotting toes with sugars in the 500s Diabetic Me ':,annoyance
b' RickDaymd CNN I didnt know people went that long without healthcare in the case of diabetes but jeez ':,neutral
b'Amazing Gillian Not wanting to lose your eyesight of legs definitely sound like strong motivators T':,admiration
b'Dont be a pussy Eat them anyway ':,neutral
b'Given the substantial interest in this by patients and public should this not be made open access DUK research':,neutral
b'grr':,neutral
b'Hi Manishk I would suggest asking that question to your insurance provider since it would depend on a':,neutral
b'why the fuck did i read this there goes my apetite':,anger
b'yep when first diag as a pre had to fight hcp to get bg testing gear Hcp seem to want more td2 Glad i refused their ed':,joy
b'Yes I would agree ':,approval
b'Yes lots of money ':,neutral
b'Yes we dont take prediabetes seriously enough Prediabetes can cause damage as well ':,confusion
b' fsgpmt Just presented RSNA it will be published soon':,neutral
b' napoli dr Where can I read the paper ':,neutral
b' Telegraph anitagomes Is this treatment available in India Pls let me know ':,neutral
b' Telegraph bengoldacre I suspect that the author is applying for a grant or for promotion Wait for th':,neutral
b'Heroin':,neutral
b'Paging bengoldacre and david colquhoun Where does one start with this ':,neutral
b'Really Cures ':,admiration
b'Sounds good will look forward to that When my back goes into spasm Im stuck for up to three weeks bef':,admiration
